Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
3.0,2.0,3.1,0.9,2.4,Aesculus hippocastanum
4.0,3.0,7.1,1.2,11.2,Carpinus betulus
23.0,14.0,153.9,6.9,87.4,Platanus x hispanica
9.0,10.0,78.5,2.7,25.6,Aesculus hippocastanum
6.0,4.0,12.6,1.8,2.6,Celtis australis
26.0,16.0,201.1,7.8,21.7,Platanus x hispanica
4.5,2.5,4.9,1.3,3.0,Tilia cordata
3.5,1.0,0.8,1.0,2.1,Carpinus betulus
5.0,3.0,7.1,1.5,5.1,Tilia cordata
13.0,10.0,78.5,3.9,5.5,Celtis australis
4.5,3.0,7.1,1.3,1.5,Celtis australis
6.0,5.0,19.6,1.8,6.7,Carpinus betulus
5.0,5.0,19.6,1.5,5.4,Celtis australis
9.0,9.0,63.6,2.7,47.9,Aesculus hippocastanum
3.0,1.0,0.8,0.9,3.5,Carpinus betulus
5.5,5.0,19.6,1.7,5.6,Tilia cordata
4.5,1.5,1.8,1.3,2.5,Platanus x hispanica
9.0,8.0,50.3,2.7,23.8,Aesculus hippocastanum
8.3,6.7,35.2,2.5,3.5,Celtis australis
28.0,15.0,176.7,8.4,8.2,Platanus x hispanica
24.0,25.0,490.9,7.2,0.7,Platanus x hispanica
6.0,6.0,28.3,1.8,3.1,Celtis australis
4.0,4.0,12.6,1.2,9.2,Carpinus betulus
6.0,3.0,7.1,1.8,9.2,Carpinus betulus
7.0,11.0,95.0,2.1,13.0,Tilia cordata
8.3,6.7,35.2,2.5,3.5,Celtis australis
9.0,8.0,50.3,2.7,3.3,Celtis australis
7.0,6.0,28.3,2.1,7.0,Tilia cordata
5.0,4.0,12.6,1.5,4.2,Tilia cordata
3.5,1.5,1.8,1.0,2.5,Aesculus hippocastanum
5.0,4.0,12.6,1.5,2.2,Celtis australis
8.0,6.0,28.3,2.4,16.4,Carpinus betulus
8.0,5.0,19.6,2.4,12.8,Carpinus betulus
3.0,6.0,28.3,0.9,2.5,Celtis australis
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
8.3,6.7,35.2,2.5,3.5,Celtis australis
